Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
1,1,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.25,133.55298897094275
2,0,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.2475,122.63727294613528
3,2,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.245,144.83821698985665
4,3,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.2425,110.40733524930593
5,0,[[ 2.  11.   0.1]],[[  1.  -11.    0.1]],0,0,0,1,0.24,13.660542122011822
6,0,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.2375,-12.24538110307068
7,2,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.235,101.466967269226
8,1,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.23249999999999998,120.97190641773363
9,2,[[-4.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.22999999999999998,-20.165898782129524
10,3,[[ 1.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.22749999999999998,110.7824100657264
11,0,[[ 0.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.22499999999999998,92.31441047082501
12,1,[[ 0.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.22249999999999998,118.36312120042595
13,2,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.21999999999999997,135.86858365138744
14,3,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.21749999999999997,116.51147285381384
15,0,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.21499999999999997,105.25196911316333
16,1,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.21249999999999997,128.44846764858005
17,2,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.20999999999999996,109.5407332563631
18,3,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.20749999999999996,126.80421309480727
19,0,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.20499999999999996,138.97779950066052
20,1,[[ 2.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.20249999999999996,126.14326897233668
21,3,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.19999999999999996,137.92488673267178
22,2,[[ 4.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.19749999999999995,97.8112973380315
23,3,[[-3.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.19499999999999995,-12.182252457263129
24,0,[[-2.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.19249999999999995,140.18192541683146
25,0,[[-2.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.18999999999999995,-27.72637330899007
26,1,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.18749999999999994,103.10943299853655
27,2,[[ 1.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.18499999999999994,113.91701025115873
28,3,[[ 3.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.18249999999999994,126.85283603407518
29,1,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.17999999999999994,123.87237664840728
30,0,[[ 1.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.17749999999999994,107.49664721268807
31,2,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.17499999999999993,119.07617137690264
32,3,[[ 1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.17249999999999993,142.48123647163808
33,0,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.16999999999999993,136.6211523110026
34,1,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.16749999999999993,130.10075649570712
35,2,[[ 0.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.16499999999999992,140.81681207529863
36,2,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.16249999999999992,-20.683082744665583
37,3,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.15999999999999992,129.30139865301433
38,0,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.15749999999999992,116.34669034824111
39,1,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.15499999999999992,128.6041276652318
40,2,[[ 2.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.1524999999999999,137.73938955890173
41,0,[[ 3.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.1499999999999999,131.81760986232564
42,3,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.1474999999999999,49.1897451116881
43,1,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.1449999999999999,142.41265585468878
44,2,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.1424999999999999,117.32668943466811
45,3,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.1399999999999999,122.25331888893072
46,0,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.1374999999999999,143.66017009880315
47,3,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.1349999999999999,-15.242225813052872
48,1,[[ 1.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.1324999999999999,134.76818475713895
49,2,[[-1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.1299999999999999,141.27493437688196
50,3,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.1274999999999999,124.84205699461788
51,0,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.12499999999999989,133.30033622968855
52,1,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.12249999999999989,124.5589213861295
53,1,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.11999999999999988,-10.85253105794643
54,2,[[-1.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.11749999999999988,127.59892640200604
55,0,[[-2.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.11499999999999988,134.4654993568493
56,3,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.11249999999999988,129.37176489532388
57,1,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.10999999999999988,47.08530910396932
58,2,[[ 2.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.10749999999999987,127.82756808942044
59,0,[[ 1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.10499999999999987,143.35881442879082
60,3,[[ 1.  11.   0.1]],[[ -2.  -10.    0.1]],0,0,0,1,0.10249999999999987,45.911386359229645
61,0,[[-1.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.09999999999999987,-0.7438282145129875
62,1,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.09749999999999986,134.7454031570632
63,2,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.09499999999999986,141.09219985861318
64,1,[[ 2.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.09249999999999986,-0.8329489538473851
65,3,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.08999999999999986,134.98337711787443
66,0,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.08749999999999986,135.42261638215209
67,2,[[ 1.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.08499999999999985,137.64430282613324
68,1,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.08249999999999985,146.1178890045979
69,3,[[ 3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.07999999999999985,139.65400902593245
70,0,[[ 0.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.07749999999999985,146.32410309160986
71,2,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.07499999999999984,142.15579647053784
72,1,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.07249999999999984,128.4995211768992
73,3,[[ 1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.06999999999999984,133.53011129087582
74,0,[[-2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.06749999999999984,134.17866920902995
75,1,[[-2.  11.   0.1]],[[ -1.  -10.    0.1]],0,0,0,1,0.06499999999999984,14.853506476803158
76,2,[[ 1.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.06249999999999983,133.7510149066768
77,3,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.05999999999999983,126.2048065789999
78,0,[[ 4.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.05749999999999983,144.77704455089048
79,1,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.05499999999999983,145.29883254440574
80,2,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.052499999999999825,144.7744217887507
81,0,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.04999999999999982,133.6987195476941
82,3,[[-3.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.04999999999999982,144.22140646807372
83,1,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.04999999999999982,148.4427103362002
84,2,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.04999999999999982,143.70028209612596
85,3,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,142.04986501697766
86,0,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.04999999999999982,147.55536630596305
87,2,[[-3.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.04999999999999982,134.25302254234123
88,1,[[ 4.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.04999999999999982,82.37571895793542
89,3,[[ 3.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.04999999999999982,131.22840289172578
90,1,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.04999999999999982,36.98303592417884
91,0,[[-2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.04999999999999982,110.0130297958573
92,2,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.04999999999999982,127.83445263068768
93,0,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.04999999999999982,126.0598132918079
94,1,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.04999999999999982,143.37280612571953
95,3,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.04999999999999982,132.50317055528214
96,2,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,144.0861591616396
97,0,[[-4.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,144.63454136747782
98,1,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,147.4633944538493
99,2,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.04999999999999982,129.896585890428
100,3,[[-4.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.04999999999999982,138.98298099969202
