Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
1,0,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,1.0,-33.70207864698514
2,3,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.9955,-37.527394740633
3,1,[[ 0.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.9910000000000001,-77.32973790541841
4,3,[[-3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.9865000000000002,-42.211257557815884
5,0,[[ 1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.9820000000000002,-56.13402680939733
6,2,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.9775000000000003,-29.250302528556627
7,1,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],0,0,0,1,0.9730000000000003,-35.49264897883032
8,3,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.9685000000000004,-33.017250448324546
9,2,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.9640000000000004,-41.70902464758447
10,1,[[ 3.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.9595000000000005,-47.198078679628324
11,2,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.9550000000000005,-69.3305984103603
12,1,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.9505000000000006,-51.4924151954458
13,3,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],0,0,0,1,0.9460000000000006,-41.29823590131332
14,2,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.9415000000000007,-48.432735425711
15,0,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.9370000000000007,14.219430548516755
16,1,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.9325000000000008,-76.8604211545432
17,3,[[ 2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.9280000000000008,-25.536685067145683
18,2,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.9235000000000009,-56.80129991530215
19,1,[[ 3.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.9190000000000009,-38.0217068376289
20,0,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.914500000000001,-47.70538303375845
21,0,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.910000000000001,-38.76328882850167
22,3,[[-1.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.9055000000000011,-35.3073775410792
23,2,[[-3.  11.   0.1]],[[  2.  -10.    0.1]],0,0,0,1,0.9010000000000011,-43.47146673287477
24,1,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.8965000000000012,-44.52207084690535
25,3,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.8920000000000012,-48.79304067232708
26,1,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.8875000000000013,-42.55819883581118
27,2,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.8830000000000013,-45.390866613290186
28,3,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.8785000000000014,-38.79373843665107
29,1,[[-2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.8740000000000014,-26.080164331676563
30,0,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.8695000000000015,-87.51025540957312
31,3,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.8650000000000015,-47.098285988166914
32,1,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.8605000000000016,-67.49550558118085
33,0,[[ 1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.8560000000000016,-55.809001941803785
34,3,[[ 3.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.8515000000000017,-43.1641367042174
35,1,[[-1.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.8470000000000018,-38.2966263949769
36,2,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.8425000000000018,-53.25881950784766
37,0,[[-2.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.8380000000000019,-35.49247481861818
38,0,[[-2.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.8335000000000019,-81.21171743408792
39,3,[[-2.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.829000000000002,-55.570305592561056
40,0,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.824500000000002,-39.05718850837803
41,1,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.8200000000000021,-42.79011445450841
42,3,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.8155000000000021,-61.88871224614894
43,3,[[ 4.  11.   0.1]],[[  0.  -11.    0.1]],0,0,0,1,0.8110000000000022,-19.18830489119975
44,2,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.8065000000000022,10.581277257993818
45,1,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.8020000000000023,-91.77091196650326
46,2,[[ 1.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.7975000000000023,-69.5376508691993
47,3,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,0,0,1,0.7930000000000024,-24.825202288276923
48,1,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.7885000000000024,-46.81447802259099
