Eposide,Step,Start,End,List_Actions,Epsilon,Action_Decide
1,1,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi trái
1,2,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi chéo phải
1,3,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi trái
1,4,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi chéo trái
1,5,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi phải
1,6,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi thẳng
1,7,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi thẳng
1,8,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],,1.0,Đi chéo phải
2,1,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo trái
2,2,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo phải
2,3,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo phải
2,4,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi thẳng
3,1,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi chéo trái
3,2,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi chéo phải
3,3,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi trái
3,4,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi thẳng
3,5,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi phải
3,6,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi chéo trái
3,7,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi chéo trái
3,8,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi trái
3,9,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],,0.9910000000000001,Đi chéo trái
4,1,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi thẳng
4,2,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi chéo phải
4,3,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi chéo phải
4,4,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi trái
4,5,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi chéo trái
4,6,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi thẳng
4,7,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],,0.9865000000000002,Đi thẳng
5,1,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi phải
5,2,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi trái
5,3,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo phải
5,4,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi trái
5,5,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo trái
5,6,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi phải
5,7,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo phải
5,8,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo trái
5,9,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi trái
5,10,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi phải
5,11,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo trái
5,12,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi phải
5,13,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo phải
5,14,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi thẳng
5,15,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo trái
5,16,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi trái
5,17,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi chéo phải
5,18,[[-3.  11.   0.1]],[[  1.  -11.    0.1]],,0.9820000000000002,Đi thẳng
6,1,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi chéo phải
6,2,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi thẳng
6,3,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi phải
6,4,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi chéo phải
6,5,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi chéo trái
6,6,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi thẳng
6,7,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi phải
6,8,[[-4.  11.   0.1]],[[ -2.  -10.    0.1]],,0.9775000000000003,Đi thẳng
7,1,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],,0.9730000000000003,Đi chéo trái
7,2,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],,0.9730000000000003,Đi chéo phải
7,3,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],,0.9730000000000003,Đi chéo phải
7,4,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],,0.9730000000000003,Đi trái
7,5,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],"[0.16, -0.02, 0.22, 0.09, 0.02]",0.9730000000000003,Đi trái
7,6,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],,0.9730000000000003,Đi trái
7,7,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],,0.9730000000000003,Đi trái
