Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
1,2,[[-3.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.25,-58.42469622616295
2,3,[[ 1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.2475,117.56233676350169
3,1,[[-2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.245,98.95034423600234
4,0,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.2425,82.98243314358707
5,2,[[ 2.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.24,126.11558569791106
6,3,[[ 0.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.2375,16.905986880763262
7,1,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],0,0,0,1,0.235,39.80286187539911
8,0,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.23249999999999998,71.37784521010155
9,2,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.22999999999999998,132.56313433202706
10,3,[[ 0.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.22749999999999998,111.68690361409251
11,1,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.22499999999999998,86.89410938127483
12,0,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.22249999999999998,107.85467469962765
13,0,[[ 2.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.21999999999999997,-27.141522614072816
14,2,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.21749999999999997,115.92777012236931
15,3,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.21499999999999997,126.91473123617153
16,1,[[-3.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.21249999999999997,130.44005459626555
17,0,[[ 0.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.20999999999999996,113.0320017043801
18,3,[[ 1.  11.   0.1]],[[ -2.  -11.    0.1]],0,0,0,1,0.20749999999999996,5.412093007145547
19,2,[[ 4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.20499999999999996,122.48198709782963
20,2,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.20249999999999996,-19.83248214536749
21,1,[[ 1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.19999999999999996,117.12259970316398
22,0,[[-3.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.19749999999999995,103.25906163730647
23,3,[[-2.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.19499999999999995,131.1010673941612
24,2,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.19249999999999995,126.67133267818647
25,1,[[ 3.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.18999999999999995,125.78019855645873
26,3,[[-3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.18749999999999994,130.0733252953772
27,0,[[-4.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.18499999999999994,104.7064694735672
28,2,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.18249999999999994,139.66063962607484
29,1,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.17999999999999994,98.1161968664961
30,2,[[ 2.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.17749999999999994,9.389546040421273
31,3,[[ 0.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.17499999999999993,107.55167531344829
32,2,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.17249999999999993,-28.358695315518116
33,0,[[ 4.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.16999999999999993,139.42950891872974
34,3,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.16749999999999993,-7.370629978072927
35,1,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.16499999999999992,147.82127958693076
36,0,[[-2.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.16249999999999992,134.52093583590494
37,2,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.15999999999999992,122.23107271773861
38,3,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.15749999999999992,116.5058230538159
39,3,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.15499999999999992,-9.698631460168997
40,1,[[ 0.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.1524999999999999,135.701612843054
41,2,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.1499999999999999,148.68766719241182
42,0,[[ 2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.1474999999999999,99.59703385204857
43,1,[[ 1.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.1449999999999999,40.28832203795096
44,3,[[ 2.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.1424999999999999,124.74142956972705
45,0,[[-2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.1399999999999999,127.9637632649206
46,2,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.1374999999999999,137.6680359137132
47,1,[[ 0.  11.   0.1]],[[  2.  -10.    0.1]],1,0,0,0,0.1349999999999999,48.46438191071634
48,3,[[ 1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.1324999999999999,90.99494813903426
49,0,[[ 4.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.1299999999999999,125.81841424081017
50,2,[[ 1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.1274999999999999,141.35978729148908
51,1,[[ 1.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.12499999999999989,144.59342032501706
52,3,[[-2.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.12249999999999989,141.83605204499418
53,0,[[ 1.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.11999999999999988,143.19658095633173
54,2,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.11749999999999988,114.39371261838562
55,1,[[ 0.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.11499999999999988,117.8544859990557
56,3,[[-4.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.11249999999999988,141.81280463624228
57,0,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.10999999999999988,11.030906010061639
58,1,[[-2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.10749999999999987,143.5708318911844
59,2,[[-2.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.10499999999999987,136.3025112407993
60,0,[[-2.  11.   0.1]],[[  2.  -11.    0.1]],0,0,0,1,0.10249999999999987,2.7820679874605823
61,3,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.09999999999999987,112.57164333938707
62,2,[[-2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.09749999999999986,122.39430477004396
63,0,[[-3.  11.   0.1]],[[ -1.  -11.    0.1]],0,1,0,0,0.09499999999999986,116.85638042824232
64,3,[[-1.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.09249999999999986,143.02206492869678
65,1,[[-2.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.08999999999999986,139.90174958127457
66,2,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.08749999999999986,112.4340345782032
67,0,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.08499999999999985,129.19197705580757
68,3,[[ 2.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.08249999999999985,142.764816985868
69,1,[[ 1.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.07999999999999985,142.97865397391828
70,2,[[ 3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.07749999999999985,130.03673989695676
71,0,[[ 4.  11.   0.1]],[[  0.  -10.    0.1]],0,1,0,0,0.07499999999999984,120.80889825284848
72,2,[[ 3.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.07249999999999984,-24.926904264311695
73,3,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.06999999999999984,129.11121226317763
74,1,[[-1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.06749999999999984,138.21882036566853
75,3,[[ 2.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.06499999999999984,-9.968131260191932
76,1,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.06249999999999983,-14.100058886551626
77,0,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.05999999999999983,130.23670214164764
78,2,[[ 1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.05749999999999983,122.65655450768324
79,3,[[-1.  11.   0.1]],[[  1.  -10.    0.1]],0,1,0,0,0.05499999999999983,112.86815716772806
80,1,[[-3.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.052499999999999825,143.64173946475944
81,0,[[ 3.  11.   0.1]],[[ -2.  -10.    0.1]],0,1,0,0,0.04999999999999982,130.7830351220864
82,2,[[-4.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.04999999999999982,141.6116590906398
83,3,[[-4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.04999999999999982,138.52073822288003
84,1,[[-1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,138.39387440972007
85,0,[[ 4.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.04999999999999982,142.5504052944309
86,2,[[-1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.04999999999999982,126.46473579456361
87,3,[[-1.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.04999999999999982,132.54299936271624
88,1,[[-1.  11.   0.1]],[[  0.  -11.    0.1]],0,1,0,0,0.04999999999999982,126.5499310015261
89,0,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.04999999999999982,138.30658677397884
90,3,[[ 4.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.04999999999999982,132.6868523859281
91,2,[[-1.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,132.66371613504438
92,1,[[ 4.  11.   0.1]],[[ -1.  -10.    0.1]],0,1,0,0,0.04999999999999982,129.99010733404415
93,0,[[-3.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.04999999999999982,137.3698566553038
94,2,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.04999999999999982,147.1851328813172
95,3,[[ 4.  11.   0.1]],[[  2.  -11.    0.1]],0,1,0,0,0.04999999999999982,140.8003521409418
96,2,[[ 3.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.04999999999999982,-5.491053637502958
97,1,[[ 1.  11.   0.1]],[[ -2.  -11.    0.1]],0,1,0,0,0.04999999999999982,145.52316191203812
98,0,[[ 2.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.04999999999999982,124.14470741082127
99,3,[[ 3.  11.   0.1]],[[  2.  -10.    0.1]],0,1,0,0,0.04999999999999982,131.3489779963066
100,2,[[-1.  11.   0.1]],[[  1.  -11.    0.1]],0,1,0,0,0.04999999999999982,122.05646549356601
