Episode,Worker_ID,Start,Goal,Collision,Win,Over_Step,Over_Map,Epsilon,AccumReward
1,0,[[-4.  11.   0.1]],[[  2.  -10.    0.1]],0,0,0,1,1.0,-27.841290625704502
2,3,[[-3.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.9955,-63.02933944264315
3,1,[[ 2.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.9910000000000001,-25.233620393336523
4,0,[[ 1.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.9865000000000002,-42.03366910383455
5,3,[[ 3.  11.   0.1]],[[  0.  -11.    0.1]],1,0,0,0,0.9820000000000002,-59.5977758905369
6,2,[[ 2.  11.   0.1]],[[ -1.  -10.    0.1]],1,0,0,0,0.9775000000000003,-49.90211874057637
7,3,[[ 2.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.9730000000000003,-33.22337682809769
8,0,[[ 3.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.9685000000000004,-107.72381718070287
9,2,[[ 3.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.9640000000000004,-65.38115306031864
10,3,[[ 2.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.9595000000000005,-67.27061576594683
11,1,[[ 2.  11.   0.1]],[[ -2.  -11.    0.1]],1,0,0,0,0.9550000000000005,-127.60181669569708
12,2,[[ 0.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.9505000000000006,-44.741768205428656
13,3,[[-1.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.9460000000000006,-44.49573232343482
14,1,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.9415000000000007,-23.467180882502962
15,0,[[ 1.  11.   0.1]],[[  0.  -10.    0.1]],1,0,0,0,0.9370000000000007,-29.892612288784672
16,2,[[ 4.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.9325000000000008,-71.5757811950257
17,0,[[ 2.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.9280000000000008,-53.66836385036375
18,2,[[ 0.  11.   0.1]],[[  2.  -11.    0.1]],1,0,0,0,0.9235000000000009,-46.30675546942
19,3,[[ 4.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.9190000000000009,-52.6402887428288
20,0,[[-4.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.914500000000001,-40.98892889166335
21,2,[[ 0.  11.   0.1]],[[  1.  -10.    0.1]],1,0,0,0,0.910000000000001,-35.46462850013888
22,3,[[ 0.  11.   0.1]],[[ -1.  -11.    0.1]],1,0,0,0,0.9055000000000011,-53.226395802829956
23,0,[[-1.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.9010000000000011,-34.886482611182224
24,1,[[ 4.  11.   0.1]],[[ -2.  -10.    0.1]],1,0,0,0,0.8965000000000012,-44.309697199997075
25,3,[[ 3.  11.   0.1]],[[  1.  -11.    0.1]],1,0,0,0,0.8920000000000012,-61.10939383425166
