Eposide,Step,Start,End,List_Actions,Epsilon,Action_Decide
1,1,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,2,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo phải
1,3,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,4,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,5,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,6,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo phải
1,7,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo phải
1,8,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,9,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,10,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,11,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,12,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,13,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,14,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,15,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,16,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,17,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,18,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,19,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,20,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,21,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,22,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo phải
1,23,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo phải
1,24,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,25,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,26,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,27,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,28,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,29,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,30,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo phải
1,31,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
1,32,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,33,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,34,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,35,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,36,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,37,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi phải
1,38,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,39,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi trái
1,40,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi thẳng
1,41,[[-1.  11.   0.1]],[[ -1.  -11.    0.1]],,1.0,Đi chéo trái
2,1,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi thẳng
2,2,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi phải
2,3,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,4,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi thẳng
2,5,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,6,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo trái
2,7,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,8,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi phải
2,9,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo trái
2,10,[[-3.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo phải
