Eposide,Step,Start,End,List_Actions,Epsilon,Action_Decide
1,1,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi trái
1,2,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi chéo trái
1,3,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi trái
1,4,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi trái
1,5,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi trái
1,6,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi trái
1,7,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi trái
1,8,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi phải
1,9,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi phải
1,10,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi chéo trái
1,11,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi phải
1,12,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi chéo phải
1,13,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi phải
1,14,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi chéo trái
1,15,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi chéo trái
1,16,[[-2.  11.   0.1]],[[  1.  -10.    0.1]],,1.0,Đi phải
2,1,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi thẳng
2,2,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,3,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo trái
2,4,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,5,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo trái
2,6,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi chéo trái
2,7,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi phải
2,8,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi phải
2,9,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,10,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
2,11,[[-4.  11.   0.1]],[[  0.  -10.    0.1]],,0.9955,Đi trái
